unix,date,open,high,low,close,Volume USD,symbol,macd,macd_signal,macd_hist,rsi,volume,taker_buy_base,volume_delta,cvd,cvd_rolling
1612483200,2021-02-05 00:00:00,36936.65,38310.12,36570.0,38290.24,2509278291.7515864,BTCUSD,1106.649333,770.066102,336.583231,62.71,196277.444,97203.231,-1870.981999999989,-682641.943,-33771.336
1612569600,2021-02-06 00:00:00,38289.32,40955.51,38215.94,39186.94,3922095148.92815,BTCUSD,1336.374144,883.32771,453.046434,64.62,310826.315,154728.277,-1369.7609999999986,-684011.704,-32953.404
1612656000,2021-02-07 00:00:00,39181.01,39700.0,37351.0,38795.69,3256521384.2406106,BTCUSD,1469.917809,1000.64573,469.272079,63.1,296721.925,143721.734,-9278.456999999997,-693290.161,-42703.714
1612742400,2021-02-08 00:00:00,38795.69,46794.45,37988.89,46374.87,5881536976.635699,BTCUSD,2162.401788,1232.996942,929.404846,75.26,440167.093,223454.335,6741.57699999999,-686548.584,-33567.068
1612828800,2021-02-09 00:00:00,46374.86,48142.19,44961.09,46420.42,5386255398.017187,BTCUSD,2683.937079,1523.184969,1160.75211,75.32,381477.426,185490.943,-10495.53999999998,-697044.124,-35274.897
1612915200,2021-02-10 00:00:00,46420.42,47310.0,43727.0,44807.58,4431650130.251104,BTCUSD,2933.301571,1805.20829,1128.093281,69.66,334979.017,163672.458,-7634.100999999966,-704678.225,-31646.083
1613001600,2021-02-11 00:00:00,44807.58,48678.9,43994.02,47969.51,4185630934.4108953,BTCUSD,3347.478406,2113.662313,1233.816093,73.81,330540.045,164596.168,-1347.7089999999737,-706025.934,-30992.596
1613088000,2021-02-12 00:00:00,47968.66,48985.8,46125.0,47287.6,4080571908.967661,BTCUSD,3579.430645,2406.815979,1172.614666,71.54,259186.288,127514.459,-4157.369999999995,-710183.304,-31861.897
1613174400,2021-02-13 00:00:00,47298.15,48150.0,46202.53,47153.69,3007710147.41816,BTCUSD,3709.686096,2667.390003,1042.296093,71.08,199965.397,97689.069,-4587.258999999991,-714770.563,-37228.124
1613260800,2021-02-14 00:00:00,47156.78,49707.43,47014.17,48577.79,3584808348.834733,BTCUSD,3883.065881,2910.525178,972.540702,73.07,241935.666,119727.737,-2480.19200000001,-717250.755,-38217.582
1613347200,2021-02-15 00:00:00,48580.47,49010.92,45570.79,47911.1,3782219060.6647215,BTCUSD,3921.470033,3112.714149,808.755884,70.62,248960.404,119328.817,-10302.77000000002,-727553.525,-46385.333
